Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.472976,-122.147473,No,1996,30,204409.431763862,38196.5805608667
37.472759,-122.147651,No,1998,15,200318.312883435,47373.2030061349
37.472627,-122.14768,No,2019,30,617389.803525817,138646.141783718
37.472495,-122.147709,No,2003,30,415854.732082201,76819.995
37.472355,-122.14774,No,2006,30,680449.21875,143543.450889756
37.472218,-122.14777,No,2008,30,377565.570382205,64024.4230456612
37.47208,-122.1478,No,2012,30,162090.140264026,20604.4514851485
37.471814,-122.147858,No,2007,30,583192.804641606,129491.080758933
37.471552,-122.147916,No,2008,30,377565.570382205,74775.6026622945
37.471414,-122.147942,No,2015,30,490010.784062597,52769.0515448259
37.471251,-122.14797,No,2015,30,490010.871285751,73631.1017775096
37.471011,-122.148076,No,2004,15,378689.686079357,89854.7421916357
37.471116,-122.148401,No,2006,30,680449.21875,95397.3003472222
37.471171,-122.148564,No,2005,30,662370.975617439,192256.891756272
37.471418,-122.148372,No,2012,30,190136.15797546,31423.3768404907
37.471611,-122.14834,No,2007,15,583192.804641606,129491.080758933
37.471744,-122.148311,No,2006,74,680449.21875,159560.469444444
37.471872,-122.148283,No,2007,30,583192.804641606,156541.364074813
37.472002,-122.148254,No,2008,30,377565.570382205,93803.6488576564
37.472138,-122.148225,No,2005,30,662369.281946544,91936.9437275985
37.472276,-122.148194,Yes,2010,30,335286.829164583,72326.6817239608
37.472413,-122.148164,No,2005,30,662368.435111097,178417.026164874
37.472553,-122.148133,No,2016,30,546157.976642348,74866.8273842013
37.472685,-122.148104,No,2008,20,377565.570382205,123179.508785293
37.472818,-122.148076,No,2018,30,583903.106140016,144392.445292245
37.47096,-122.147912,No,2018,30,583903.103888834,95815.6014766613
37.471685,-122.147887,No,2015,15,490010.827674174,100275.717227034
37.473163,-122.14696,No,2009,10,337469.978954679,32705.3010902548
37.473061,-122.146982,No,2006,30,680449.21875,121632.734027777
37.472926,-122.147013,No,2003,30,415825.969132133,42802.9513586956
37.472791,-122.147043,No,2012,30,326668.750848663,58216.4045663214
37.472656,-122.147073,No,2016,31,546157.976642348,62029.9980417237
37.47252,-122.147103,No,2012,30,214668.141734173,44683.9234159779
37.472385,-122.147133,No,2014,30,408973.925266436,77881.4406765342
37.47225,-122.147163,No,2013,30,347498.840987821,67271.1229110952
37.472115,-122.147193,No,2012,30,190136.15797546,30288.7938650306
37.471979,-122.147223,No,2006,30,680449.21875,143180.670648871
37.471844,-122.147253,No,2019,30,617389.803525817,147051.122284936
37.471709,-122.147283,No,2012,30,222846.086905766,35229.3884708737
37.471574,-122.147314,No,2012,30,214668.12393685,38727.0622589531
37.471439,-122.147343,No,2007,30,583192.804641606,129491.080758933
37.471304,-122.147373,No,2017,30,576220.269663838,94174.0139523498
37.471155,-122.147428,No,2012,30,190136.15797546,32994.3378834355
37.470911,-122.147558,No,2017,30,576220.269663838,116083.096972911
37.470928,-122.147355,No,2018,20,583903.102763244,63570.9624582349
37.47094,-122.149352,No,2016,30,546157.976642348,104852.170436695
37.470917,-122.149108,No,2014,30,408817.435844939,34618.67924608
37.470733,-122.148834,No,2018,30,583903.103326039,53877.3915502156
37.470714,-122.148986,No,2017,30,576220.269663838,91754.1651843994
37.470698,-122.149116,No,2015,20,490010.849479962,61844.1805862026
37.470679,-122.149265,No,2016,30,546157.976642348,109011.438624706
37.470657,-122.149433,Yes,1999,30,238252.527573529,76128.5823529411
37.470636,-122.1496,No,2012,30,162090.140264026,26260.8384488448
37.470596,-122.149776,Yes,2005,30,662368.011693373,132414.561648745
37.468884,-122.153523,No,2007,30,583192.804641606,129491.080758933
37.468805,-122.153388,No,2017,21,576220.269663838,80663.0995430809
37.468721,-122.153246,No,2010,30,335071.984479474,96300.1254264959
37.468638,-122.153103,No,2017,20,576220.269663838,80663.0995430809
37.468556,-122.152965,No,2015,40,490010.860382857,78831.752068417
37.468437,-122.152829,No,2013,34,347498.840987821,59460.395824122
37.469118,-122.153711,No,2015,30,490010.865834304,102365.580654552
37.468984,-122.153633,No,2003,30,415840.350607167,71288.6726086956
37.469622,-122.153839,Yes,2018,30,583903.103607437,96979.9522514306
37.469672,-122.153436,No,2011,35,325354.45604402,126447.205642418
37.469697,-122.153244,No,2015,30,490010.86310858,78831.752068417
37.469718,-122.153075,Yes,2017,30,576220.269663838,80663.0995430809
37.46974,-122.152904,Yes,2018,30,583903.103466738,97901.2353598267
37.469762,-122.152734,No,2007,30,583192.804641606,97837.8624687714
37.469803,-122.15253,No,2013,15,347498.840987821,46745.7185660873
37.469499,-122.152669,No,2017,30,576220.269663838,80663.0995430809
37.469372,-122.152738,No,2010,30,334964.562136919,57094.1255915911
37.4691,-122.152799,No,2012,30,326668.750489898,48208.1918081483
37.468942,-122.152795,No,2011,31,325352.562033571,42824.8702981697
37.469353,-122.153259,No,2006,20,680449.21875,143180.670648871
37.469385,-122.153497,Yes,2012,30,214668.115038188,27436.6455922865
37.469645,-122.15365,No,2015,30,490010.864471442,82630.7762312408
37.468169,-122.152436,No,2012,30,326668.750669281,33436.6362796937
37.468347,-122.152379,No,2003,31,415847.541344684,93876.3783695652
37.468109,-122.152172,No,2011,20,325353.509038795,66245.4364961167
37.467894,-122.151831,No,2007,40,583192.804641606,181598.071398944
